[07:38:31] R= 423 , G= 423 , B= 423 , ORP= 582 , HCL=11.39 , SG= 1.31 , Temp=46.6
[07:47:21] R= 780 , G= 780 , B= 780 , ORP= 538 , HCL= 5.02 , SG=1.200 , Temp=47.3
[07:47:23] R= 780 , G= 780 , B= 780 , ORP= 538 , HCL= 5.02 , SG=1.200 , Temp=47.3
[07:47:25] R= 778 , G= 778 , B= 778 , ORP= 537 , HCL= 4.98 , SG=1.201 , Temp=47.4
[07:47:27] R= 778 , G= 778 , B= 778 , ORP= 537 , HCL= 4.98 , SG=1.201 , Temp=47.4
[07:47:29] R= 776 , G= 776 , B= 776 , ORP= 536 , HCL= 4.93 , SG=1.201 , Temp=47.4
[07:47:31] R= 776 , G= 776 , B= 776 , ORP= 536 , HCL= 4.93 , SG=1.201 , Temp=47.4
[07:47:33] R= 776 , G= 776 , B= 776 , ORP= 536 , HCL= 4.93 , SG=1.201 , Temp=47.4
[07:47:35] R= 774 , G= 774 , B= 774 , ORP= 535 , HCL= 4.89 , SG=1.201 , Temp=47.5
[07:47:37] R= 774 , G= 774 , B= 774 , ORP= 535 , HCL= 4.89 , SG=1.201 , Temp=47.5
[07:47:39] R= 771 , G= 771 , B= 771 , ORP= 534 , HCL= 4.84 , SG=1.202 , Temp=47.6
[07:47:41] R= 771 , G= 771 , B= 771 , ORP= 534 , HCL= 4.84 , SG=1.202 , Temp=47.6
[07:47:43] R= 771 , G= 771 , B= 771 , ORP= 534 , HCL= 4.84 , SG=1.202 , Temp=47.6
[07:47:45] R= 768 , G= 768 , B= 768 , ORP= 532 , HCL= 4.80 , SG=1.202 , Temp=47.7
[07:47:47] R= 768 , G= 768 , B= 768 , ORP= 532 , HCL= 4.80 , SG=1.202 , Temp=47.7
[07:47:49] R= 766 , G= 766 , B= 766 , ORP= 531 , HCL= 4.76 , SG=1.202 , Temp=47.8
[07:47:51] R= 766 , G= 766 , B= 766 , ORP= 531 , HCL= 4.76 , SG=1.202 , Temp=47.8
[07:47:53] R= 766 , G= 766 , B= 766 , ORP= 531 , HCL= 4.76 , SG=1.202 , Temp=47.8
[07:47:55] R= 763 , G= 763 , B= 763 , ORP= 530 , HCL= 4.72 , SG=1.203 , Temp=47.8
[07:47:57] R= 763 , G= 763 , B= 763 , ORP= 530 , HCL= 4.72 , SG=1.203 , Temp=47.8
[07:47:59] R= 760 , G= 760 , B= 760 , ORP= 529 , HCL= 4.68 , SG=1.203 , Temp=47.9
[07:48:01] R= 760 , G= 760 , B= 760 , ORP= 529 , HCL= 4.68 , SG=1.203 , Temp=47.9
[07:48:03] R= 760 , G= 760 , B= 760 , ORP= 529 , HCL= 4.68 , SG=1.203 , Temp=47.9
[07:48:05] R= 757 , G= 757 , B= 757 , ORP= 528 , HCL= 4.64 , SG=1.204 , Temp=48.0
[07:48:07] R= 757 , G= 757 , B= 757 , ORP= 528 , HCL= 4.64 , SG=1.204 , Temp=48.0
[07:48:09] R= 754 , G= 754 , B= 754 , ORP= 527 , HCL= 4.60 , SG=1.204 , Temp=48.1
[07:48:11] R= 754 , G= 754 , B= 754 , ORP= 527 , HCL= 4.60 , SG=1.204 , Temp=48.1
[07:48:13] R= 754 , G= 754 , B= 754 , ORP= 527 , HCL= 4.60 , SG=1.204 , Temp=48.1
[07:48:15] R= 751 , G= 751 , B= 751 , ORP= 526 , HCL= 4.57 , SG=1.205 , Temp=48.2
[07:48:17] R= 751 , G= 751 , B= 751 , ORP= 526 , HCL= 4.57 , SG=1.205 , Temp=48.2
[07:48:19] R= 747 , G= 747 , B= 747 , ORP= 525 , HCL= 4.53 , SG=1.206 , Temp=48.2
[07:48:21] R= 747 , G= 747 , B= 747 , ORP= 525 , HCL= 4.53 , SG=1.206 , Temp=48.2
[07:48:23] R= 747 , G= 747 , B= 747 , ORP= 525 , HCL= 4.53 , SG=1.206 , Temp=48.2
[07:48:25] R= 744 , G= 744 , B= 744 , ORP= 523 , HCL= 4.50 , SG=1.206 , Temp=48.3
